TABELA_S4;TABELA_DS;VIEW_DS;STATUS
EHHSSC_BDYSIDE_T;S4H_TB_EHHSSC_BDYSIDE_T;S4H_VW_EHHSSC_BDYSIDE_T_R;
EHHSSC_CSEODTH_T;S4H_TB_EHHSSC_CSEODTH_T;S4H_VW_EHHSSC_CSEODTH_T_R;
EHHSSC_EST_RSK_T;S4H_TB_EHHSSC_EST_RSK_T;S4H_VW_EHHSSC_EST_RSK_T_R;
EHHSSC_FINCAT;S4H_TB_EHHSSC_FINCAT;S4H_VW_EHHSSC_FINCAT_R;
EHHSSC_FINCAT_T;S4H_TB_EHHSSC_FINCAT_T;S4H_VW_EHHSSC_FINCAT_T_R;
EHHSSC_INC_FRE_T;S4H_TB_EHHSSC_INC_FRE_T;S4H_VW_EHHSSC_INC_FRE_T_R;
EHHSSC_INC_SEV_T;S4H_TB_EHHSSC_INC_SEV_T;S4H_VW_EHHSSC_INC_SEV_T_R;
EHHSSC_INJILTP_T;S4H_TB_EHHSSC_INJILTP_T;S4H_VW_EHHSSC_INJILTP_T_R;
EHHSSC_LOCAT_T;S4H_TB_EHHSSC_LOCAT_T;S4H_VW_EHHSSC_LOCAT_T_R;
EHHSSC_LOCODTH_T;S4H_TB_EHHSSC_LOCODTH_T;S4H_VW_EHHSSC_LOCODTH_T_R;
EHHSSC_NM_GRP_T;S4H_TB_EHHSSC_NM_GRP_T;S4H_VW_EHHSSC_NM_GRP_T_R;
EHHSSC_OCC_TYP_T;S4H_TB_EHHSSC_OCC_TYP_T;S4H_VW_EHHSSC_OCC_TYP_T_R;
EHHSSC_PER_ROL_T;S4H_TB_EHHSSC_PER_ROL_T;S4H_VW_EHHSSC_PER_ROL_T_R;
EHHSSC_RCNODE;S4H_TB_EHHSSC_RCNODE;S4H_VW_EHHSSC_RCNODE_R;
EHHSSC_RCNODE_T;S4H_TB_EHHSSC_RCNODE_T;S4H_VW_EHHSSC_RCNODE_T_R;
EHHSSC_REL_SIZ;S4H_TB_EHHSSC_REL_SIZ;S4H_VW_EHHSSC_REL_SIZ_R;
EHHSSC_REL_SIZ_T;S4H_TB_EHHSSC_REL_SIZ_T;S4H_VW_EHHSSC_REL_SIZ_T_R;
EHHSSC_REL_TYP_T;S4H_TB_EHHSSC_REL_TYP_T;S4H_VW_EHHSSC_REL_TYP_T_R;
EHHSSC_REPCRIT_T;S4H_TB_EHHSSC_REPCRIT_T;S4H_VW_EHHSSC_REPCRIT_T_R;
EHHSSC_SO_GRP_T;S4H_TB_EHHSSC_SO_GRP_T;S4H_VW_EHHSSC_SO_GRP_T_R;
EHHSSC_ST_CODE_T;S4H_TB_EHHSSC_ST_CODE_T;S4H_VW_EHHSSC_ST_CODE_T_R;
EHHSSC_TR2FAID_T;S4H_TB_EHHSSC_TR2FAID_T;S4H_VW_EHHSSC_TR2FAID_T_R;
EHHSSC_TRFURT_T;S4H_TB_EHHSSC_TRFURT_T;S4H_VW_EHHSSC_TRFURT_T_R;
EHHSSD_INC_ASINV;S4H_TB_EHHSSD_INC_ASINV;S4H_VW_EHHSSD_INC_ASINV_R;
EHHSSD_INC_BINFA;S4H_TB_EHHSSD_INC_BINFA;S4H_VW_EHHSSD_INC_BINFA_R;
EHHSSD_INC_EQU;S4H_TB_EHHSSD_INC_EQU;S4H_VW_EHHSSD_INC_EQU_R;
EHHSSD_INC_FIN;S4H_TB_EHHSSD_INC_FIN;S4H_VW_EHHSSD_INC_FIN_R;
EHHSSD_INC_FREET;S4H_TB_EHHSSD_INC_FREET;S4H_VW_EHHSSD_INC_FREET_R;
EHHSSD_INC_FTRAN;S4H_TB_EHHSSD_INC_FTRAN;S4H_VW_EHHSSD_INC_FTRAN_R;
