CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_VSPRPS_CN;RS_S4H_PUB_003;S4H_TB_VSPRPS_CN;S4H_VW_VSPRPS_CN_R;
ZS4_VCI_VSPRTE_CN;RS_S4H_PUB_003;S4H_TB_VSPRTE_CN;S4H_VW_VSPRTE_CN_R;
ZS4_VCI_VSRESB_CN;RS_S4H_PUB_003;S4H_TB_VSRESB_CN;S4H_VW_VSRESB_CN_R;
ZS4_VCI_VSRSADD_CN;RS_S4H_PUB_003;S4H_TB_VSRSADD_CN;S4H_VW_VSRSADD_CN_R;
ZS4_VCI_VSRSDB_CN;RS_S4H_PUB_003;S4H_TB_VSRSDB_CN;S4H_VW_VSRSDB_CN_R;
ZS4_VCI_VTAX_T010;RS_S4H_PUB_003;S4H_TB_VTAX_T010;S4H_VW_VTAX_T010_R;
ZS4_VCI_VTAX_T011;RS_S4H_PUB_003;S4H_TB_VTAX_T011;S4H_VW_VTAX_T011_R;
ZS4_VCI_VTAX_T012;RS_S4H_PUB_003;S4H_TB_VTAX_T012;S4H_VW_VTAX_T012_R;
ZS4_VCI_VTAX_T016;RS_S4H_PUB_003;S4H_TB_VTAX_T016;S4H_VW_VTAX_T016_R;
ZS4_VCI_VTAX_T016_CENTR;RS_S4H_PUB_003;S4H_TB_VTAX_T016_CENTR;S4H_VW_VTAX_T016_CENTR_R;
ZS4_VCI_VTAX_T016_MUNIC;RS_S4H_PUB_003;S4H_TB_VTAX_T016_MUNIC;S4H_VW_VTAX_T016_MUNIC_R;
ZS4_VCI_VTAX_T018;RS_S4H_PUB_003;S4H_TB_VTAX_T018;S4H_VW_VTAX_T018_R;
ZS4_VCI_VTAX_T020;RS_S4H_PUB_003;S4H_TB_VTAX_T020;S4H_VW_VTAX_T020_R;
ZS4_VCI_VTAX_T021;RS_S4H_PUB_003;S4H_TB_VTAX_T021;S4H_VW_VTAX_T021_R;
ZS4_VCI_VTAX_T022;RS_S4H_PUB_003;S4H_TB_VTAX_T022;S4H_VW_VTAX_T022_R;
